,jobtitle,company,city,state,country,language,formattedLocation,source,advertiserId,date,snippet,url,onmousedown,jobkey,sponsored,expired,indeedApply,formattedLocationFull,formattedRelativeTime,stations,refNum
130,Java Backend / Fullstack Software Engineer,"JPMorgan Chase Bank, N.A.",Brooklyn,NY,US,en,"Brooklyn, NY",JPMorgan Chase,,"Fri, 04 Nov 2022 04:37:03 GMT",BS/BA degree or equivalent experience. Application Development experience using Java and Java frameworks within the Spring/Springboot family.,https://www.indeed.com/viewjob?jk=80514d803bffd92c&qd=dq_0GghYhi9jngULGgishWK6LDkgbXhup4-ULwcj25E0Bk4z7ucQQ0mEG6Iu62NZpMzUp3lzzKWYb3ps8rmhB6rQDPFVdpPRMw8wBLGI1xI&indpubnum=448947293830904&atk=1gh76cnpeir1j800,"indeed_clk(this,'2731');",80514d803bffd92c,False,False,False,"Brooklyn, NY",2 days ago,,281001692
131,Lead Developer - ServiceNow,TIAA,New York,NY,US,en,"New York, NY",TIAA,,"Fri, 04 Nov 2022 19:43:44 GMT",Experience as a full stack <b>developer</b>. This job develops complex software components and advises <b>developers</b> on best methods of software development and code…,https://www.indeed.com/viewjob?jk=78f8bb2a1fdfa0df&qd=dq_0GghYhi9jngULGgishWK6LDkgbXhup4-ULwcj25E0Bk4z7ucQQ0mEG6Iu62NZpMzUp3lzzKWYb3ps8rmhB6rQDPFVdpPRMw8wBLGI1xI&indpubnum=448947293830904&atk=1gh76cnpeir1j800,"indeed_clk(this,'2731');",78f8bb2a1fdfa0df,False,False,False,"New York, NY",1 day ago,,R221100146-2
132,Junior Database Developer/Integration Specialist,FAIR Health Inc,New York,NY,US,en,"New York, NY",FAIR Health Inc,,"Sat, 15 Oct 2022 09:22:48 GMT",Primary MariaDB/MySQL database <b>developer</b> on external web applications. Work with application <b>developers</b> to provide solutions meeting business requirements…,https://www.indeed.com/viewjob?jk=8ece55f73a7dc785&qd=dq_0GghYhi9jngULGgishWK6LDkgbXhup4-ULwcj25E0Bk4z7ucQQ0mEG6Iu62NZpMzUp3lzzKWYb3ps8rmhB6rQDPFVdpPRMw8wBLGI1xI&indpubnum=448947293830904&atk=1gh76cnpeir1j800,"indeed_clk(this,'2731');",8ece55f73a7dc785,False,False,False,"New York, NY 10036",22 days ago,,5012323
133,FRONT-END SOFTWARE DEVELOPER,Brandon Systems,Farmingdale,NY,US,en,"Farmingdale, NY",Brandon Systems,,"Mon, 28 Oct 2019 10:03:03 GMT",Be able to conceptualize full project life cycle. Understand the importance of iteration and testing. Have outstanding creative skills coupled with the ability…,https://www.indeed.com/viewjob?jk=6da6c9b301a3dd81&qd=dq_0GghYhi9jngULGgishWK6LDkgbXhup4-ULwcj25E0Bk4z7ucQQ0mEG6Iu62NZpMzUp3lzzKWYb3ps8rmhB6rQDPFVdpPRMw8wBLGI1xI&indpubnum=448947293830904&atk=1gh76cnpeir1j800,"indeed_clk(this,'2731');",6da6c9b301a3dd81,False,False,False,"Farmingdale, NY",3 years ago,,1557873335159-a8a53214-e414
134,"Application Analyst/Developer, ETL",New York University,New York,NY,US,en,"New York, NY",New York University,,"Thu, 27 Oct 2022 01:33:39 GMT",Determine best technical solutions and support to satisfy NYU IT's functional and business requirements for various business intelligence applications.,https://www.indeed.com/viewjob?jk=63373446364b59fc&qd=dq_0GghYhi9jngULGgishWK6LDkgbXhup4-ULwcj25E0Bk4z7ucQQ0mEG6Iu62NZpMzUp3lzzKWYb3ps8rmhB6rQDPFVdpPRMw8wBLGI1xI&indpubnum=448947293830904&atk=1gh76cnpeir1j800,"indeed_clk(this,'2731');",63373446364b59fc,False,False,False,"New York, NY 10012",10 days ago,,3b6f3097-70a7-404f-affc-aec81cf0998f-1
135,Quantitative Developer – Analyst,Citi,New York,NY,US,en,"New York, NY",Citi,,"Tue, 13 Sep 2022 04:08:54 GMT",The team works closely with Risk technology and the RMA analytical model teams to leverage big-data modelling and solutions to complement the core modelling…,https://www.indeed.com/viewjob?jk=8e90a0db1e7babff&qd=dq_0GghYhi9jngULGgishWK6LDkgbXhup4-ULwcj25E0Bk4z7ucQQ0mEG6Iu62NZpMzUp3lzzKWYb3ps8rmhB6rQDPFVdpPRMw8wBLGI1xI&indpubnum=448947293830904&atk=1gh76cnpeir1j800,"indeed_clk(this,'2731');",8e90a0db1e7babff,False,False,False,"New York, NY",30+ days ago,,22551761
136,Python Developer,TP ICAP,New York,NY,US,en,"New York, NY",TP ICAP,27725031.0,"Tue, 13 Sep 2022 09:44:43 GMT","We are seeking an excellent software <b>developer</b> to learn and participate in the development of our innovative, enterprise class real-time securities trading…",https://www.indeed.com/viewjob?jk=a1491870fc217f82&qd=dq_0GghYhi9jngULGgishWK6LDkgbXhup4-ULwcj25E0Bk4z7ucQQ0mEG6Iu62NZpMzUp3lzzKWYb3ps8rmhB6rQDPFVdpPRMw8wBLGI1xI&indpubnum=448947293830904&atk=1gh76cnpeir1j800,"indeed_clk(this,'2731');",a1491870fc217f82,False,False,False,"New York, NY 10018",30+ days ago,,R88
137,Associate Software Developer,Baldwin Risk Partners,Latham,NY,US,en,"Latham, NY",Baldwin Risk Partners,,"Tue, 25 Oct 2022 16:04:15 GMT",Our goals include maximizing <b>developer</b> productivity through fine tuned scalable infrastructure and robust systems monitoring. Flexible PTO and Time Off.,https://www.indeed.com/viewjob?jk=668f8ab8c2c9c9e2&qd=dq_0GghYhi9jngULGgishWK6LDkgbXhup4-ULwcj25E0Bk4z7ucQQ0mEG6Iu62NZpMzUp3lzzKWYb3ps8rmhB6rQDPFVdpPRMw8wBLGI1xI&indpubnum=448947293830904&atk=1gh76cnpeir1j800,"indeed_clk(this,'2731');",668f8ab8c2c9c9e2,False,False,False,"Latham, NY",12 days ago,,JR102504-1
138,React Full Stack Developer,Ztek Consulting,New York,NY,US,en,"New York, NY",Ztek Consulting,,"Thu, 27 Oct 2022 10:33:38 GMT","Previous experience working as a react.js <b>developer</b>. [New York, 10075], New York - United States | Posted - 12/08/22. Troubleshoot, debug and upgrade software.",https://www.indeed.com/viewjob?jk=57826c187e9dec5c&qd=dq_0GghYhi9jngULGgishWK6LDkgbXhup4-ULwcj25E0Bk4z7ucQQ0mEG6Iu62NZpMzUp3lzzKWYb3ps8rmhB6rQDPFVdpPRMw8wBLGI1xI&indpubnum=448947293830904&atk=1gh76cnpeir1j800,"indeed_clk(this,'2731');",57826c187e9dec5c,False,False,False,"New York, NY 10075",10 days ago,,fde4d164a6f20582854b04bb779f621d
139,"Front-End Engineer, Messaging Experience",The New York Times,New York,NY,US,en,"New York, NY",The New York Times,,"Tue, 18 Oct 2022 00:48:01 GMT",The Messaging Experience team enhances and maintains the onsite messaging components and APIs that power our customer journey from anonymous reader to paid…,https://www.indeed.com/viewjob?jk=7e6c6b10c59343de&qd=dq_0GghYhi9jngULGgishWK6LDkgbXhup4-ULwcj25E0Bk4z7ucQQ0mEG6Iu62NZpMzUp3lzzKWYb3ps8rmhB6rQDPFVdpPRMw8wBLGI1xI&indpubnum=448947293830904&atk=1gh76cnpeir1j800,"indeed_clk(this,'2731');",7e6c6b10c59343de,False,False,False,"New York, NY",19 days ago,,REQ-013580-1
140,Software Engineer,Valon Mortgage,New York,NY,US,en,"New York, NY",Valon Mortgage,,"Wed, 11 Aug 2021 21:58:58 GMT","Through mortgage servicing, the process of paying off one’s mortgage, Valon is taking the first step in transforming the industry one homeowner, and lender, at…",https://www.indeed.com/viewjob?jk=d33feb45be9f4f9f&qd=dq_0GghYhi9jngULGgishWK6LDkgbXhup4-ULwcj25E0Bk4z7ucQQ0mEG6Iu62NZpMzUp3lzzKWYb3ps8rmhB6rQDPFVdpPRMw8wBLGI1xI&indpubnum=448947293830904&atk=1gh76cnpeir1j800,"indeed_clk(this,'2731');",d33feb45be9f4f9f,False,False,False,"New York, NY",15 months ago,,49cecf67-016b-4c86-b96c-5d98ebea07be
141,Software Engineer I,Ortho Clinical Diagnostics,Rochester,NY,US,en,"Rochester, NY",Ortho Clinical Diagnostics,,"Wed, 02 Nov 2022 20:28:34 GMT",Willingness to work closely with other <b>developers</b> on software implementation & testing. Uses analytical/technical expertise to contribute to product development…,https://www.indeed.com/viewjob?jk=486f351bfc1a67af&qd=dq_0GghYhi9jngULGgishWK6LDkgbXhup4-ULwcj25E0Bk4z7ucQQ0mEG6Iu62NZpMzUp3lzzKWYb3ps8rmhB6rQDPFVdpPRMw8wBLGI1xI&indpubnum=448947293830904&atk=1gh76cnpeir1j800,"indeed_clk(this,'2731');",486f351bfc1a67af,False,False,False,"Rochester, NY 14626",3 days ago,,R0010028
142,Software Engineer III,Bank of America,New York,NY,US,en,"New York, NY",Bank of America,,"Sat, 16 Jul 2022 00:53:09 GMT",Job Description: Hiring manager review of additional job description Job Band: H5 Shift: 1st shift (United States of America) Hours Per Week: 40…,https://www.indeed.com/viewjob?jk=d9dbf6f41f750c1f&qd=dq_0GghYhi9jngULGgishWK6LDkgbXhup4-ULwcj25E0Bk4z7ucQQ0mEG6Iu62NZpMzUp3lzzKWYb3ps8rmhB6rQDPFVdpPRMw8wBLGI1xI&indpubnum=448947293830904&atk=1gh76cnpeir1j800,"indeed_clk(this,'2731');",d9dbf6f41f750c1f,False,False,False,"New York, NY",30+ days ago,,22065875
143,Front-End Software Engineer,The New York Times,New York,NY,US,en,"New York, NY",The New York Times,,"Thu, 06 Oct 2022 19:27:24 GMT","Join a cross-functional team that includes peers from design, product and often editors from the newsroom. Be encouraged to participate in open-source projects…",https://www.indeed.com/viewjob?jk=8cbfa7a630ae80b9&qd=dq_0GghYhi9jngULGgishWK6LDkgbXhup4-ULwcj25E0Bk4z7ucQQ0mEG6Iu62NZpMzUp3lzzKWYb3ps8rmhB6rQDPFVdpPRMw8wBLGI1xI&indpubnum=448947293830904&atk=1gh76cnpeir1j800,"indeed_clk(this,'2731');",8cbfa7a630ae80b9,False,False,False,"New York, NY",30 days ago,,REQ-013508-1
144,UI Front End Developer,Radancy,New York,NY,US,en,"New York, NY",Radancy,,"Wed, 02 Nov 2022 14:10:02 GMT",Work with an Agile product team to implement product features and roll out new functionality. Utilize coding and design experience to develop robust web-client…,https://www.indeed.com/viewjob?jk=648f8e9ece5a1bbf&qd=dq_0GghYhi9jngULGgishWK6LDkgbXhup4-ULwcj25E0Bk4z7ucQQ0mEG6Iu62NZpMzUp3lzzKWYb3ps8rmhB6rQDPFVdpPRMw8wBLGI1xI&indpubnum=448947293830904&atk=1gh76cnpeir1j800,"indeed_clk(this,'2731');",648f8e9ece5a1bbf,False,False,False,"New York, NY",4 days ago,,3639
145,Software Engineer - Early Career,LOCKHEED MARTIN CORPORATION,Owego,NY,US,en,"Owego, NY",Lockheed Martin Corporation,,"Tue, 13 Sep 2022 04:05:43 GMT","Must be a US Citizen; this position will require a government security clearance. Currently pursuing a BS or MS degree in Computer Science, Computer or…",https://www.indeed.com/viewjob?jk=3955f14e7735f748&qd=dq_0GghYhi9jngULGgishWK6LDkgbXhup4-ULwcj25E0Bk4z7ucQQ0mEG6Iu62NZpMzUp3lzzKWYb3ps8rmhB6rQDPFVdpPRMw8wBLGI1xI&indpubnum=448947293830904&atk=1gh76cnpeir1j800,"indeed_clk(this,'2731');",3955f14e7735f748,False,False,False,"Owego, NY 13827",30+ days ago,,613052BR
146,Full Stack Java Developer,T. Rowe Price,New York,NY,US,en,"New York, NY",T. Rowe Price,,"Wed, 28 Sep 2022 22:30:53 GMT",You will be developing systems that help our Portfolio Managers and Investment Analysts analyze fund performance so they can offer the best investment products…,https://www.indeed.com/viewjob?jk=3ccbc9b0ab7f4630&qd=dq_0GghYhi9jngULGgishWK6LDkgbXhup4-ULwcj25E0Bk4z7ucQQ0mEG6Iu62NZpMzUp3lzzKWYb3ps8rmhB6rQDPFVdpPRMw8wBLGI1xI&indpubnum=448947293830904&atk=1gh76cnpeir1j800,"indeed_clk(this,'2731');",3ccbc9b0ab7f4630,False,False,False,"New York, NY",30+ days ago,,62961
147,Customer Success Manager - Technical B2B SaaS (Remote),Localize,Kingston,NY,US,en,"Kingston, NY",Indeed,35126238.0,"Tue, 09 Aug 2022 16:51:17 GMT","Completion of a <b>developer</b> bootcamp is a plus. As a Customer Success Manager, you will take ownership of customer retention and expansion; new customer…",https://www.indeed.com/viewjob?jk=a1595d07a7e570b4&qd=dq_0GghYhi9jngULGgishWK6LDkgbXhup4-ULwcj25E0Bk4z7ucQQ0mEG6Iu62NZpMzUp3lzzKWYb3ps8rmhB6rQDPFVdpPRMw8wBLGI1xI&indpubnum=448947293830904&atk=1gh76cnpeir1j800,"indeed_clk(this,'2731');",a1595d07a7e570b4,False,False,False,"Kingston, NY",30+ days ago,,35126238-20-37
148,Lead Drupal Applications Developer,Sodexo,Cheektowaga,NY,US,en,"Cheektowaga, NY",Sodexo,,"Thu, 03 Nov 2022 00:45:20 GMT","2 years of Drupal Theming and Front-End Development experience. Experience working with Drupal's main modules, such as CTools, Views, Rules, and so on.",https://www.indeed.com/viewjob?jk=7ab918245d1ff24b&qd=dq_0GghYhi9jngULGgishWK6LDkgbXhup4-ULwcj25E0Bk4z7ucQQ0mEG6Iu62NZpMzUp3lzzKWYb3ps8rmhB6rQDPFVdpPRMw8wBLGI1xI&indpubnum=448947293830904&atk=1gh76cnpeir1j800,"indeed_clk(this,'2731');",7ab918245d1ff24b,False,False,False,"Cheektowaga, NY 14225",3 days ago,,f7d73710-4e35-4314-9027-8fe40e57e108-1
149,"Software Engineer III, Google Ads",Google,New York,NY,US,en,"New York, NY",Google,,"Sat, 06 Aug 2022 02:17:54 GMT","Bachelor’s degree or equivalent practical experience. 2 years of experience with software development in one or more programming languages (e.g., Python, C, C++…",https://www.indeed.com/viewjob?jk=28ccbbe632fbeb69&qd=dq_0GghYhi9jngULGgishWK6LDkgbXhup4-ULwcj25E0Bk4z7ucQQ0mEG6Iu62NZpMzUp3lzzKWYb3ps8rmhB6rQDPFVdpPRMw8wBLGI1xI&indpubnum=448947293830904&atk=1gh76cnpeir1j800,"indeed_clk(this,'2731');",28ccbbe632fbeb69,False,False,False,"New York, NY",30+ days ago,,136246450716582598
150,Back-End Software Engineer,The New York Times,New York,NY,US,en,"New York, NY",The New York Times,,"Thu, 06 Oct 2022 19:27:13 GMT","Design, develop, test, deploy and operate highly performant and fault-tolerant systems at scale. Develop standards, libraries and processes that allow other…",https://www.indeed.com/viewjob?jk=a83b7400ff2dea63&qd=dq_0GghYhi9jngULGgishWK6LDkgbXhup4-ULwcj25E0Bk4z7ucQQ0mEG6Iu62NZpMzUp3lzzKWYb3ps8rmhB_7dyZHSE8HYqWT83q7-ON4&indpubnum=448947293830904&atk=1gh76co4tirro800,"indeed_clk(this,'3098');",a83b7400ff2dea63,False,False,False,"New York, NY",30 days ago,,REQ-013507-1
151,"Software Development Engineer, Customer Engineering","Amazon Web Services, Inc.",New York,NY,US,en,"New York, NY",Amazon.com,,"Wed, 19 Oct 2022 07:52:13 GMT",Programming experience with at least one software programming language. 1+ years of experience in software development.,https://www.indeed.com/viewjob?jk=6c4b9fba82391bc5&qd=dq_0GghYhi9jngULGgishWK6LDkgbXhup4-ULwcj25E0Bk4z7ucQQ0mEG6Iu62NZpMzUp3lzzKWYb3ps8rmhB_7dyZHSE8HYqWT83q7-ON4&indpubnum=448947293830904&atk=1gh76co4tirro800,"indeed_clk(this,'3098');",6c4b9fba82391bc5,False,False,False,"New York, NY",18 days ago,,2278426
152,Software Developer,Fitocracy,New York,NY,US,en,"New York, NY",Fitocracy,,"Tue, 11 Jan 2022 10:28:52 GMT","This is for a full time position in New York. Work closely with the rest of the Fitocracy team and deliver new features using Python, Django, and Javascript.",https://www.indeed.com/viewjob?jk=5bf0fc88bd2fc148&qd=dq_0GghYhi9jngULGgishWK6LDkgbXhup4-ULwcj25E0Bk4z7ucQQ0mEG6Iu62NZpMzUp3lzzKWYb3ps8rmhB_7dyZHSE8HYqWT83q7-ON4&indpubnum=448947293830904&atk=1gh76co4tirro800,"indeed_clk(this,'3098');",5bf0fc88bd2fc148,False,False,False,"New York, NY",9 months ago,,97dac624798082bb01452bafa9cf8392
153,Junior Software Engineer,TransPerfect,New York,NY,US,en,"New York, NY",TransPerfect,,"Thu, 12 Aug 2021 20:38:40 GMT","Perform responsive software development and integration, within an agile development process. Support software life-cycle, to include design, developing and…",https://www.indeed.com/viewjob?jk=f8cd6904dadce124&qd=dq_0GghYhi9jngULGgishWK6LDkgbXhup4-ULwcj25E0Bk4z7ucQQ0mEG6Iu62NZpMzUp3lzzKWYb3ps8rmhB_7dyZHSE8HYqWT83q7-ON4&indpubnum=448947293830904&atk=1gh76co4tirro800,"indeed_clk(this,'3098');",f8cd6904dadce124,False,False,False,"New York, NY",15 months ago,,R2019-7881
154,"Software Developer, CMO Analytics – Buffalo, NY",LSEG (London Stock Exchange Group),Buffalo,NY,US,en,"Buffalo, NY",London Stock Exchange Group,,"Thu, 21 Apr 2022 20:50:05 GMT","The <b>developer</b> will be working to create a suite of tests against the software library, run the tests, and embed them into a larger testing framework.",https://www.indeed.com/viewjob?jk=434fe9142960bba3&qd=dq_0GghYhi9jngULGgishWK6LDkgbXhup4-ULwcj25E0Bk4z7ucQQ0mEG6Iu62NZpMzUp3lzzKWYb3ps8rmhB_7dyZHSE8HYqWT83q7-ON4&indpubnum=448947293830904&atk=1gh76co4tirro800,"indeed_clk(this,'3098');",434fe9142960bba3,False,False,False,"Buffalo, NY",6 months ago,,R0046973
155,Software Programmer/Developer,Naval Nuclear Laboratory,West Milton,NY,US,en,"West Milton, NY",Naval Nuclear Laboratory,,"Fri, 04 Nov 2022 09:47:32 GMT","The successful candidate will develop and maintain applications, SharePoint websites, and web pages. Also migrate applications, utilities, and processes to an…",https://www.indeed.com/viewjob?jk=c06625271e6abc04&qd=dq_0GghYhi9jngULGgishWK6LDkgbXhup4-ULwcj25E0Bk4z7ucQQ0mEG6Iu62NZpMzUp3lzzKWYb3ps8rmhB_7dyZHSE8HYqWT83q7-ON4&indpubnum=448947293830904&atk=1gh76co4tirro800,"indeed_clk(this,'3098');",c06625271e6abc04,False,False,False,"West Milton, NY",2 days ago,,1822046
156,Supervisory Stress Testing Developer (IT Systems Engineering Specialist),Federal Reserve Bank of New York,New York,NY,US,en,"New York, NY",Federal Reserve Bank,,"Thu, 29 Sep 2022 21:03:33 GMT",The Supervision Group of the Federal Reserve Bank of New York (FRBNY) supervises financial. Evaluate and promote the overall safety and soundness of supervised…,https://www.indeed.com/viewjob?jk=fdfe05c53d2633eb&qd=dq_0GghYhi9jngULGgishWK6LDkgbXhup4-ULwcj25E0Bk4z7ucQQ0mEG6Iu62NZpMzUp3lzzKWYb3ps8rmhB_7dyZHSE8HYqWT83q7-ON4&indpubnum=448947293830904&atk=1gh76co4tirro800,"indeed_clk(this,'3098');",fdfe05c53d2633eb,False,False,False,"New York, NY",30+ days ago,,R-0000013124-1
157,Quantitative Developer,Morgan Stanley,New York,NY,US,en,"New York, NY",Morgan Stanley,,"Tue, 25 Oct 2022 21:17:46 GMT","We are looking for a technical, hands-on specialist to handle the coordination of testing and release process for the pricing and risk modelling libraries and…",https://www.indeed.com/viewjob?jk=8b441ecd8e92fa69&qd=dq_0GghYhi9jngULGgishWK6LDkgbXhup4-ULwcj25E0Bk4z7ucQQ0mEG6Iu62NZpMzUp3lzzKWYb3ps8rmhB_7dyZHSE8HYqWT83q7-ON4&indpubnum=448947293830904&atk=1gh76co4tirro800,"indeed_clk(this,'3098');",8b441ecd8e92fa69,False,False,False,"New York, NY 10036",11 days ago,,3226505&lang=en
158,Software Engineer I,Paychex,Rochester,NY,US,en,"Rochester, NY",Paychex,,"Wed, 26 Oct 2022 08:41:11 GMT","Overview: Designs, develops and troubleshoots basic software programs for computer based systems. Develop, test, deploy, maintain and improve software to meet…",https://www.indeed.com/viewjob?jk=5dd0f97a55924565&qd=dq_0GghYhi9jngULGgishWK6LDkgbXhup4-ULwcj25E0Bk4z7ucQQ0mEG6Iu62NZpMzUp3lzzKWYb3ps8rmhB_7dyZHSE8HYqWT83q7-ON4&indpubnum=448947293830904&atk=1gh76co4tirro800,"indeed_clk(this,'3098');",5dd0f97a55924565,False,False,False,"Rochester, NY 14623",11 days ago,,0c280a14-5aa7-4db2-a097-436a92dc2aa4-1
159,Software Developer,Visions Federal Credit Union,Endwell,NY,US,en,"Endwell, NY",Visions Federal Credit Union,,"Mon, 25 Apr 2022 23:35:59 GMT","Documents, evaluates, and updates <b>developer</b> standards around SDLC best practices. Experience with one or more <b>developer</b> tools (i.e., Visual Studio, Azure DevOps…",https://www.indeed.com/viewjob?jk=dc28947adbf18ab4&qd=dq_0GghYhi9jngULGgishWK6LDkgbXhup4-ULwcj25E0Bk4z7ucQQ0mEG6Iu62NZpMzUp3lzzKWYb3ps8rmhB_7dyZHSE8HYqWT83q7-ON4&indpubnum=448947293830904&atk=1gh76co4tirro800,"indeed_clk(this,'3098');",dc28947adbf18ab4,False,False,False,"Endwell, NY 13760",6 months ago,,84576cfc-0a0d-4cf5-8cff-1f8a849fb7c9
160,Java Software Developer,Mediacom Communications Corporation,Chester,NY,US,en,"Chester, NY",Indeed,8905511.0,"Fri, 04 Nov 2022 19:30:11 GMT",The primary function of the Software <b>Developer</b> III is to utilize software engineering best practices to develop and maintain software used in the support of…,https://www.indeed.com/viewjob?jk=c3297c936106bd44&qd=dq_0GghYhi9jngULGgishWK6LDkgbXhup4-ULwcj25E0Bk4z7ucQQ0mEG6Iu62NZpMzUp3lzzKWYb3ps8rmhB_7dyZHSE8HYqWT83q7-ON4&indpubnum=448947293830904&atk=1gh76co4tirro800,"indeed_clk(this,'3098');",c3297c936106bd44,False,False,False,"Chester, NY 10918",1 day ago,,8905511-679-728
161,"Software Engineer III, Security/Privacy, Google Cloud Security and Privacy",Google,New York,NY,US,en,"New York, NY",Google,,"Wed, 02 Nov 2022 14:17:08 GMT","Review code developed by other <b>developers</b> and provide feedback to ensure best practices (e.g., style guidelines, checking code in, accuracy, testability, and…",https://www.indeed.com/viewjob?jk=217b05b22f8f1760&qd=dq_0GghYhi9jngULGgishWK6LDkgbXhup4-ULwcj25E0Bk4z7ucQQ0mEG6Iu62NZpMzUp3lzzKWYb3ps8rmhB_7dyZHSE8HYqWT83q7-ON4&indpubnum=448947293830904&atk=1gh76co4tirro800,"indeed_clk(this,'3098');",217b05b22f8f1760,False,False,False,"New York, NY",4 days ago,,138217301619942086
162,Front-End Software Engineer,Welcome Building Corporation,New York,NY,US,en,"New York, NY",Indeed,38810029.0,"Wed, 28 Sep 2022 19:47:53 GMT",You’ll need to be proficient in HTML/CSS/JS including experience in Tailwind. You’ll also be expected to take mockups and translate them into exact coded…,https://www.indeed.com/viewjob?jk=0a111b6a54b466d6&qd=dq_0GghYhi9jngULGgishWK6LDkgbXhup4-ULwcj25E0Bk4z7ucQQ0mEG6Iu62NZpMzUp3lzzKWYb3ps8rmhB_7dyZHSE8HYqWT83q7-ON4&indpubnum=448947293830904&atk=1gh76co4tirro800,"indeed_clk(this,'3098');",0a111b6a54b466d6,False,False,False,"New York, NY 10010",30+ days ago,,38810029-21-21
163,Analyst/Programmer Trainee,University of Rochester,Rochester,NY,US,en,"Rochester, NY",University of Rochester,,"Fri, 17 Dec 2021 17:37:45 GMT",Full Time 40 hours Grade 079 Health Info Mgmt-Workflow. Assists in the preparation of less complex program instructions and program documentation; codes…,https://www.indeed.com/viewjob?jk=540b2e253729e4b8&qd=dq_0GghYhi9jngULGgishWK6LDkgbXhup4-ULwcj25E0Bk4z7ucQQ0mEG6Iu62NZpMzUp3lzzKWYb3ps8rmhB_7dyZHSE8HYqWT83q7-ON4&indpubnum=448947293830904&atk=1gh76co4tirro800,"indeed_clk(this,'3098');",540b2e253729e4b8,False,False,False,"Rochester, NY",10 months ago,,233846
164,Python Developer,Ztek Consulting,New York,NY,US,en,"New York, NY",Ztek Consulting,,"Thu, 27 Oct 2022 10:34:31 GMT",Communication skills effective and amicable communication between groups <b>developers</b> testers designers and users Analytical skills.,https://www.indeed.com/viewjob?jk=ac08241eb309c038&qd=dq_0GghYhi9jngULGgishWK6LDkgbXhup4-ULwcj25E0Bk4z7ucQQ0mEG6Iu62NZpMzUp3lzzKWYb3ps8rmhB_7dyZHSE8HYqWT83q7-ON4&indpubnum=448947293830904&atk=1gh76co4tirro800,"indeed_clk(this,'3098');",ac08241eb309c038,False,False,False,"New York, NY 10075",10 days ago,,a58bf865b185e0e3f665473bf8f3ca6d
165,Developer,Alliant,Brewster,NY,US,en,"Brewster, NY",Alliant,,"Wed, 06 Oct 2021 17:48:29 GMT","This associate will be tasked with design, development, implementation and maintenance of software to support and enhance a variety of web-based and console…",https://www.indeed.com/viewjob?jk=ddaeddc427ff51b0&qd=dq_0GghYhi9jngULGgishWK6LDkgbXhup4-ULwcj25E0Bk4z7ucQQ0mEG6Iu62NZpMzUp3lzzKWYb3ps8rmhB_7dyZHSE8HYqWT83q7-ON4&indpubnum=448947293830904&atk=1gh76co4tirro800,"indeed_clk(this,'3098');",ddaeddc427ff51b0,False,False,False,"Brewster, NY 10509",13 months ago,,developer
166,"Frontend Software Engineer, Private Fund Analytics, Asset Management",Goldman Sachs,New York,NY,US,en,"New York, NY",Goldman Sachs,,"Mon, 10 Oct 2022 18:01:32 GMT",Goldman Sachs Engineering is a leading <b>developer</b> of quantitative models and cutting edge systems to solve complex business problems.,https://www.indeed.com/viewjob?jk=dce7d1c668a72a05&qd=dq_0GghYhi9jngULGgishWK6LDkgbXhup4-ULwcj25E0Bk4z7ucQQ0mEG6Iu62NZpMzUp3lzzKWYb3ps8rmhB_7dyZHSE8HYqWT83q7-ON4&indpubnum=448947293830904&atk=1gh76co4tirro800,"indeed_clk(this,'3098');",dce7d1c668a72a05,False,False,False,"New York, NY 10282",27 days ago,,106230
167,Software Development Engineer,Amazon.com Services LLC,New York,NY,US,en,"New York, NY",Amazon.com,,"Tue, 31 Aug 2021 07:55:25 GMT","The ideal candidate will have a proven track record of full lifecycle, shipping complex software solutions through an agile methodology and diving deep into a…",https://www.indeed.com/viewjob?jk=b590f13f91400ac9&qd=dq_0GghYhi9jngULGgishWK6LDkgbXhup4-ULwcj25E0Bk4z7ucQQ0mEG6Iu62NZpMzUp3lzzKWYb3ps8rmhB_7dyZHSE8HYqWT83q7-ON4&indpubnum=448947293830904&atk=1gh76co4tirro800,"indeed_clk(this,'3098');",b590f13f91400ac9,False,False,False,"New York, NY",14 months ago,,1685995
168,Data Science and Software Engineer - Lab of Ornithology,Cornell University,Ithaca,NY,US,en,"Ithaca, NY",Cornell University,,"Sat, 05 Nov 2022 23:09:39 GMT","Participate actively in the design and evolution of Lab technical infrastructure and hosting platforms, including the transition to more scalable, agile, cloud…",https://www.indeed.com/viewjob?jk=98d2299aa86c4008&qd=dq_0GghYhi9jngULGgishWK6LDkgbXhup4-ULwcj25E0Bk4z7ucQQ0mEG6Iu62NZpMzUp3lzzKWYb3ps8rmhB_7dyZHSE8HYqWT83q7-ON4&indpubnum=448947293830904&atk=1gh76co4tirro800,"indeed_clk(this,'3098');",98d2299aa86c4008,False,False,False,"Ithaca, NY 14853",20 hours ago,,WDR-00034196-1
169,Senior Software Developer,Northwell Health,New York,NY,US,en,"New York, NY",Northwell Health,,"Wed, 10 Aug 2022 00:19:37 GMT","The Senior Software <b>Developer</b> will help design, develop, implement, and maintain internally designed services that support complex and high-profile information…",https://www.indeed.com/viewjob?jk=5091251794744bdc&qd=dq_0GghYhi9jngULGgishWK6LDkgbXhup4-ULwcj25E0Bk4z7ucQQ0mEG6Iu62NZpMzUp3lzzKWYb3ps8rmhB_7dyZHSE8HYqWT83q7-ON4&indpubnum=448947293830904&atk=1gh76co4tirro800,"indeed_clk(this,'3098');",5091251794744bdc,False,False,False,"New York, NY 10060",30+ days ago,,1962_58142
